ProductionId,DateKey,LineId,ProductId,PlantId,QuantityProduced,QuantityDefective,ScrapKg,CycleTimeSec,PlannedQuantity,RuntimeMinutes,DowntimeMinutes
FP-001,20260401,SG-LN-001,SG-PRD-001,SG-PLT-001,1850,12,45.5,62,2000,450,30
FP-002,20260401,SG-LN-002,SG-PRD-003,SG-PLT-001,680,5,18.2,95,750,420,60
FP-003,20260401,SG-LN-003,SG-PRD-001,SG-PLT-001,2800,22,55.0,35,3000,440,40
FP-004,20260401,SG-LN-004,SG-PRD-004,SG-PLT-001,350,3,12.0,120,400,390,90
FP-005,20260401,SG-LN-005,SG-PRD-002,SG-PLT-002,1500,8,32.0,58,1800,440,40
FP-006,20260401,SG-LN-006,SG-PRD-010,SG-PLT-002,420,2,8.5,85,500,400,80
FP-007,20260401,SG-LN-007,SG-PRD-005,SG-PLT-003,4200,35,22.0,28,4500,450,30
FP-008,20260401,SG-LN-008,SG-PRD-006,SG-PLT-003,3800,18,15.0,32,4000,440,40
FP-009,20260401,SG-LN-009,SG-PRD-007,SG-PLT-004,2800,10,65.0,42,3000,420,60
FP-010,20260401,SG-LN-010,SG-PRD-008,SG-PLT-004,2500,8,55.0,38,2800,410,70
FP-011,20260401,SG-LN-011,SG-PRD-009,SG-PLT-005,120,1,5.5,180,150,380,100
FP-012,20260401,SG-LN-012,SG-PRD-009,SG-PLT-005,280,2,8.0,90,300,420,60
FP-013,20260402,SG-LN-001,SG-PRD-001,SG-PLT-001,1920,10,40.0,60,2000,460,20
FP-014,20260402,SG-LN-002,SG-PRD-003,SG-PLT-001,710,4,15.5,92,750,430,50
FP-015,20260402,SG-LN-003,SG-PRD-001,SG-PLT-001,2900,18,48.0,33,3000,455,25
FP-016,20260402,SG-LN-004,SG-PRD-004,SG-PLT-001,380,2,10.5,115,400,410,70
FP-017,20260402,SG-LN-005,SG-PRD-002,SG-PLT-002,1600,6,28.0,55,1800,450,30
FP-018,20260402,SG-LN-006,SG-PRD-010,SG-PLT-002,450,3,9.0,82,500,420,60
FP-019,20260402,SG-LN-007,SG-PRD-005,SG-PLT-003,4400,30,20.0,26,4500,460,20
FP-020,20260402,SG-LN-008,SG-PRD-006,SG-PLT-003,3900,15,12.0,30,4000,450,30
FP-021,20260402,SG-LN-009,SG-PRD-007,SG-PLT-004,2900,8,60.0,40,3000,435,45
FP-022,20260402,SG-LN-010,SG-PRD-008,SG-PLT-004,2600,6,50.0,36,2800,420,60
FP-023,20260402,SG-LN-011,SG-PRD-009,SG-PLT-005,130,0,4.0,175,150,400,80
FP-024,20260402,SG-LN-012,SG-PRD-009,SG-PLT-005,290,1,6.5,88,300,430,50
